method,regime,Total Return,Annualized Return,Sharpe Ratio,Sortino Ratio,Calmar Ratio,MDD,Turnover
buy_and_hold_spy,Crisis,-0.2057269295598015,-0.8186155814421265,-1.876597460188984,-3.1072531160669548,-3.114054570167175,-0.262877725164007,0.0
buy_and_hold_spy,High-vol,-0.2826364968353217,-0.2657338661001721,-1.0606909530336557,-1.7149345935219389,-0.6160231813879495,-0.4313699129007653,0.0
buy_and_hold_spy,Low-vol,0.0237137235601663,0.324775549314785,3.842416311770425,6.139190666329503,33.902031842005506,-0.0095798255051008,1.0
buy_and_hold_spy,Mid-vol,1.1282097931866533,0.5632797756385619,3.19377769457603,5.257227191447135,6.313380082334142,-0.0892200007432959,0.0
cppi_spy_cash,Crisis,-0.1180713228909688,-0.6059369829274572,-3.780630598566128,-5.010749731678232,-5.131957261857735,-0.1180713228909688,0.8483090660806509
cppi_spy_cash,High-vol,-0.293528149262472,-0.2761060830778792,-1.996917148467998,-2.8234577054878907,-0.8144403817245821,-0.3390132528709136,4.134979667759534
cppi_spy_cash,Low-vol,0.0144142793537205,0.1873650104095479,3.8042574047189976,6.0998919992540594,31.052833642694942,-0.0060337492083794,0.6984529441260866
cppi_spy_cash,Mid-vol,0.5905960006103927,0.3159294570260722,2.7011753614036484,3.9677427685531375,5.91425817514709,-0.053418272870412,4.27863638024167
ppo_hybrid_regime_aware_policy,Crisis,-0.0244398281922433,-0.1675586739517032,-0.4404254312775471,-0.6220449142275726,-1.528881319705366,-0.1095956054875428,2.104153635924757
ppo_hybrid_regime_aware_policy,High-vol,-0.2219699146067958,-0.2081576773277388,-1.5438192778276354,-2.0784676927048094,-0.631338121586988,-0.329708709501804,25.645194895917484
ppo_hybrid_regime_aware_policy,Low-vol,0.0218569356977502,0.2962272996846651,3.566668430879132,5.667334616462197,30.921993258325745,-0.0095798255051008,1.0028533680889278
ppo_hybrid_regime_aware_policy,Mid-vol,0.7100597984540344,0.3735284798102944,2.77726998275444,4.722425801802863,6.328729455713434,-0.0590210851047016,22.46805997819917
ppo_markovian_mdd_static,Crisis,-0.049705041078738,-0.314682441206734,-1.886294021674237,-3.1224086023497466,-4.5028922101177,-0.0698845156674333,0.2540334100599299
ppo_markovian_mdd_static,High-vol,-0.0747846207307157,-0.0697287890164836,-1.0702068494711197,-1.730412140940042,-0.5363418843262973,-0.1300080994123187,0.6754794534530872
ppo_markovian_mdd_static,Low-vol,0.0059694882908603,0.0740331889980614,3.831749599471402,6.122895740797469,30.556902006552846,-0.0024227976050119,0.2676998991661168
ppo_markovian_mdd_static,Mid-vol,0.2137153571049517,0.1213966688052947,3.1847480376461856,5.238664877348824,5.241869032308792,-0.023159042711112,0.5618545705868743
ppo_profit_only,Crisis,-0.2057269295598015,-0.8186155814421265,-1.876597460188984,-3.1072531160669548,-3.114054570167175,-0.262877725164007,0.0
ppo_profit_only,High-vol,-0.2826364968353217,-0.2657338661001721,-1.0606909530336557,-1.7149345935219389,-0.6160231813879495,-0.4313699129007653,0.0
ppo_profit_only,Low-vol,0.0237137235601663,0.324775549314785,3.842416311770425,6.139190666329503,33.902031842005506,-0.0095798255051008,1.0
ppo_profit_only,Mid-vol,1.1282097931866533,0.5632797756385619,3.19377769457603,5.257227191447135,6.313380082334142,-0.0892200007432959,0.0
ppo_variance_penalized,Crisis,-0.1345223740071313,-0.657267658915603,-1.880992052955725,-3.114123265414939,-3.673539867959237,-0.1789194299069184,0.3012340352519581
ppo_variance_penalized,High-vol,-0.1921566159555674,-0.1799798400577619,-1.064968657749171,-1.721893751707003,-0.5805021760121215,-0.3100416286019292,0.7987145035808411
ppo_variance_penalized,Low-vol,0.0157309864473387,0.2059919746147445,3.8376329133643168,6.131877957970517,32.346980254639284,-0.0063681979892141,0.6821869276674584
ppo_variance_penalized,Mid-vol,0.6573486226422518,0.3483235539060678,3.189729993932209,5.246928773165695,5.80476645911911,-0.0600064716400196,0.6622967939301783
risk_parity_spy_cash,Crisis,-0.1676683296028761,-0.7434004925411359,-2.1935283625384145,-3.199265156722179,-3.5401505756042377,-0.2099912070588272,0.4127414110086062
risk_parity_spy_cash,High-vol,-0.3268926932894885,-0.3079500607707611,-1.537068109027586,-2.3326872027982724,-0.781418416208836,-0.3940911224806106,1.0755175138910111
risk_parity_spy_cash,Low-vol,0.0237137235601663,0.324775549314785,3.842416311770425,6.139190666329503,33.902031842005506,-0.0095798255051008,1.0
risk_parity_spy_cash,Mid-vol,0.9874822054405076,0.5012778494191532,3.2073503913473456,5.203201792274637,7.559798372333568,-0.0663083623041679,0.4554686866268178
sac_profit_only,Crisis,-0.2057269295598015,-0.8186155814421265,-1.876597460188984,-3.1072531160669548,-3.114054570167175,-0.262877725164007,0.0
sac_profit_only,High-vol,-0.2826364968353217,-0.2657338661001721,-1.0606909530336557,-1.7149345935219389,-0.6160231813879495,-0.4313699129007653,0.0
sac_profit_only,Low-vol,0.0237137235601663,0.324775549314785,3.842416311770425,6.139190666329503,33.902031842005506,-0.0095798255051008,1.0
sac_profit_only,Mid-vol,1.1282097931866533,0.5632797756385619,3.19377769457603,5.257227191447135,6.313380082334142,-0.0892200007432959,0.0
