date,asset,asset_label,method,method_label,portfolio_value,cumulative_return,daily_returns,turnover
2020-01-02,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10000.0,0.0,0.0,0.0
2020-01-03,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9914.353387491616,-0.008564661250838435,-0.0085646612508384,1.0
2020-01-06,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9952.177162965205,-0.004782283703479551,0.0038150521769082,0.0
2020-01-07,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9924.193856654649,-0.007580614334535163,-0.0028117773480448,0.0
2020-01-08,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9977.085205357462,-0.0022914794642537872,0.0053295360274876,0.0
2020-01-09,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10044.736319366031,0.004473631936603217,0.0067806491190678,0.0
2020-01-10,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10015.830527723869,0.0015830527723867949,-0.0028777053695709,0.0
2020-01-13,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10084.712873426308,0.008471287342630696,0.0068773473664287,0.0
2020-01-14,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10069.337492273617,0.006933749227361563,-0.0015246225991427,0.0
2020-01-15,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10092.092756079188,0.009209275607918732,0.0022598570981489,0.0
2020-01-16,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10176.04267501085,0.017604267501085014,0.0083183855876765,0.0
2020-01-17,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10207.715922647843,0.020771592264784422,0.0031125309364881,0.0
2020-01-21,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10187.727176398314,0.01877271763983135,-0.0019581996992278,0.0
2020-01-22,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10188.957469653393,0.018895746965339244,0.0001207622891519,0.0
2020-01-23,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10200.642909479642,0.020064290947964247,0.0011468729613461,0.0
2020-01-24,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10109.927785303242,0.010992778530324099,-0.0088930790913284,0.0
2020-01-27,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9947.87160579183,-0.0052128394208169615,-0.0160294101948968,0.0
2020-01-28,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10052.117140457702,0.005211714045770144,0.0104791797478747,0.0
2020-01-29,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10043.81383403442,0.004381383403441852,-0.0008260256329346,0.0
2020-01-30,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10076.409567003026,0.007640956700302626,0.0032453541560228,0.0
2020-01-31,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9893.443094349264,-0.010655690565073539,-0.0181579035108814,0.0
2020-02-03,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9966.93692827096,-0.0033063071729040328,0.0074285396116215,0.0
2020-02-04,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10118.84576913466,0.011884576913465894,0.0152412764279479,0.0
2020-02-05,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10235.698290519606,0.02356982905196059,0.0115480089380726,0.0
2020-02-06,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10270.13993259022,0.027013993259022095,0.0033648551464744,0.0
2020-02-07,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10215.403613224187,0.021540361322418766,-0.0053296566283713,0.0
2020-02-10,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10291.664903140716,0.02916649031407159,0.00746532323185,0.0
2020-02-11,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10309.500870803562,0.030950087080356292,0.0017330497864735,0.0
2020-02-12,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10375.922629995846,0.037592262999584625,0.006442771577855,0.0
2020-02-13,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10364.851867577736,0.03648518675777357,-0.0010669665544831,0.0
2020-02-14,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10381.457541985506,0.0381457541985506,0.0016021140118476,0.0
2020-02-18,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10354.704528930028,0.03547045289300277,-0.0025769997081124,0.0
2020-02-19,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10404.212805791078,0.040421280579107766,0.0047812351113185,0.0
2020-02-20,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10361.469734174763,0.03614697341747641,-0.0041082465741686,0.0
2020-02-21,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,10254.76455143753,0.025476455143753185,-0.0102982670870807,0.0
2020-02-24,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9914.661195415085,-0.00853388045849146,-0.0331653988072082,0.0
2020-02-25,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9614.225647090652,-0.038577435290934825,-0.0303021497560969,0.0
2020-02-26,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9578.862458127218,-0.04211375418727825,-0.0036782149973914,0.0
2020-02-27,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9148.659593775305,-0.08513404062246954,-0.044911686145666,0.0
2020-02-28,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9110.221140893576,-0.08897788591064237,-0.0042015393061387,0.0
2020-03-02,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9504.753008358588,-0.04952469916414115,0.0433065083013248,0.0
2020-03-03,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9232.60857426818,-0.07673914257318193,-0.0286324572401914,0.0
2020-03-04,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9620.683044411924,-0.0379316955588076,0.0420330253386167,0.0
2020-03-05,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9300.875304123683,-0.06991246958763164,-0.0332416876028356,0.0
2020-03-06,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,9147.121492596763,-0.08528785074032363,-0.0165311120189679,0.0
2020-03-09,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8432.78188484351,-0.1567218115156489,-0.0780944703020949,0.0
2020-03-10,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8869.135277032019,-0.11308647229679814,0.0517448925096448,0.0
2020-03-11,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8436.778695654628,-0.15632213043453724,-0.0487484481713842,0.0
2020-03-12,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,7629.571654357685,-0.23704283456423159,-0.0956771619140247,0.0
2020-03-13,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8281.795529311421,-0.1718204470688579,0.085486303098184,0.0
2020-03-16,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,7375.570526634192,-0.2624429473365808,-0.1094237354049449,0.0
2020-03-17,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,7773.792804645041,-0.2226207195354959,0.0539920642847646,0.0
2020-03-18,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,7380.182953292242,-0.26198170467077575,-0.0506329228529999,0.0
2020-03-19,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,7395.865673149007,-0.2604134326850993,0.0021249771118165,0.0
2020-03-20,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,7035.774509315816,-0.29642254906841836,-0.0486881698163498,0.0
2020-03-23,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,6855.88236214156,-0.314411763785844,-0.0255682081533551,0.0
2020-03-24,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,7477.047666866445,-0.25229523331335546,0.090603261828847,0.0
2020-03-25,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,7588.980422889267,-0.24110195771107323,0.0149701808801938,0.0
2020-03-26,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8032.099489541906,-0.19679005104580938,0.058389802313383,0.0
2020-03-27,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,7792.858127124173,-0.22071418728758274,-0.0297856572530301,0.0
2020-03-30,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8045.9367695160545,-0.19540632304839456,0.0324757153618651,0.0
2020-03-31,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,7926.008984212814,-0.20739910157871866,-0.0149053850084449,0.0
2020-04-01,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,7569.299953782597,-0.24307000462174033,-0.0450048733405067,0.0
2020-04-02,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,7743.964527671265,-0.22560354723287346,0.0230753933593796,0.0
2020-04-03,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,7632.031771648442,-0.2367968228351558,-0.0144541927617123,0.0
2020-04-06,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8144.646453753476,-0.18553535462465243,0.0671662143767928,0.0
2020-04-07,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8152.949760176756,-0.18470502398232436,0.0010194802770664,0.0
2020-04-08,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8426.631357006918,-0.15733686429930827,0.0335684144856338,0.0
2020-04-09,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8554.862448733438,-0.1445137551266562,0.0152173610418941,0.0
2020-04-13,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8476.7552497149,-0.15232447502850988,-0.0091301525286477,0.0
2020-04-14,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8726.759097407883,-0.12732409025921165,0.0294928708365609,0.0
2020-04-15,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8541.332038243967,-0.14586679617560327,-0.0212481010526569,0.0
2020-04-16,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8582.537947120529,-0.14174620528794712,0.0048242954017079,0.0
2020-04-17,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8814.398957665988,-0.11856010423340124,0.0270154366894759,0.0
2020-04-20,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8659.107044960523,-0.13408929550394766,-0.0176179809254498,0.0
2020-04-21,SPY,SPY (S&P 500 ETF),buy_and_hold_spy,Buy & Hold,8396.188402625005,-0.16038115973749956,-0.030363251195576,0.0
